edge	cor
ENSDARG00000003570 (geneExprCor) ENSDARG00000071014	0.8270398021893373
ENSDARG00000003570 (geneExprCor) ENSDARG00000071555	0.818021517446676
ENSDARG00000003570 (geneExprCor) ENSDARG00000074390	0.8495165676404174
ENSDARG00000003570 (geneExprCor) ENSDARG00000076196	0.822296463055354
ENSDARG00000003570 (geneExprCor) ENSDARG00000076844	0.8463339819966303
ENSDARG00000003570 (geneExprCor) ENSDARG00000078093	0.8926114289866467
ENSDARG00000003570 (geneExprCor) ENSDARG00000079227	0.8905645775845632
ENSDARG00000003570 (geneExprCor) ENSDARG00000079332	0.8089885936504451
ENSDARG00000003570 (geneExprCor) ENSDARG00000086881	0.8551261400143848
ENSDARG00000003570 (geneExprCor) ENSDARG00000088439	0.8344442110336142
ENSDARG00000003570 (geneExprCor) ENSDARG00000090526	0.8021715925698073
ENSDARG00000003570 (geneExprCor) ENSDARG00000091757	0.8615096312908047
ENSDARG00000003570 (geneExprCor) ENSDARG00000091860	0.8280358549252259
ENSDARG00000003570 (geneExprCor) ENSDARG00000092044	0.8965699398510985
ENSDARG00000003570 (geneExprCor) ENSDARG00000094345	0.8295722178331467
ENSDARG00000003570 (geneExprCor) ENSDARG00000094678	0.8884959808464393
ENSDARG00000003570 (geneExprCor) ENSDARG00000094879	0.8364265568529857
ENSDARG00000003570 (geneExprCor) ENSDARG00000095046	0.8959351339721775
ENSDARG00000003570 (geneExprCor) ENSDARG00000095796	0.8936687063344018
ENSDARG00000003570 (geneExprCor) ENSDARG00000096874	0.8359191914093541
ENSDARG00000003570 (geneExprCor) ENSDARG00000097157	0.8792756376075782
ENSDARG00000003570 (geneExprCor) ENSDARG00000098108	0.8844128872720285
ENSDARG00000003570 (geneExprCor) ENSDARG00000098256	0.8646071422302147
ENSDARG00000003570 (geneExprCor) ENSDARG00000098387	0.8670445919609953
ENSDARG00000003570 (geneExprCor) ENSDARG00000098761	0.885005131302316
ENSDARG00000003570 (geneExprCor) ENSDARG00000099195	0.8408738857266105
ENSDARG00000003570 (geneExprCor) ENSDARG00000099448	0.8275372912443106
ENSDARG00000003570 (geneExprCor) ENSDARG00000100020	0.8929527179168587
ENSDARG00000003570 (geneExprCor) ENSDARG00000100106	0.8387446393043511
ENSDARG00000003570 (geneExprCor) ENSDARG00000100185	0.8148096341377405
ENSDARG00000003570 (geneExprCor) ENSDARG00000100515	0.9420027991896983
ENSDARG00000003570 (geneExprCor) ENSDARG00000101040	0.81856815746876
ENSDARG00000003570 (geneExprCor) ENSDARG00000102798	0.932388230386054
ENSDARG00000003570 (geneExprCor) ENSDARG00000103199	0.8471077550731659
ENSDARG00000003570 (geneExprCor) ENSDARG00000103485	0.8001597501084509
ENSDARG00000003570 (geneExprCor) ENSDARG00000103720	0.8865879022339391
ENSDARG00000003570 (geneExprCor) ENSDARG00000103979	0.8943625796158654
ENSDARG00000003570 (geneExprCor) ENSDARG00000104398	0.8187102667904048
ENSDARG00000003570 (geneExprCor) ENSDARG00000104773	0.871552688051555
ENSDARG00000003570 (geneExprCor) ENSDARG00000105731	0.8586969713432253
ENSDARG00000003570 (geneExprCor) ENSDARG00000113076	0.8072846943148719
ENSDARG00000003570 (geneExprCor) ENSDARG00000117266	0.8549938887138328
ENSDARG00000003570 (geneExprCor) ENSDARG00000117419	0.8472749145707456
ENSDARG00000003570 (geneExprCor) ENSDARG00000117613	0.8757134888582186
ENSDARG00000004748 (geneExprCor) ENSDARG00000006588	0.9653674204707928
ENSDARG00000004748 (geneExprCor) ENSDARG00000007769	0.8182117366442095
ENSDARG00000004748 (geneExprCor) ENSDARG00000014975	0.8565353351289843
ENSDARG00000004748 (geneExprCor) ENSDARG00000017489	0.9380203576882834
ENSDARG00000004748 (geneExprCor) ENSDARG00000025428	0.8136444266167099
ENSDARG00000004748 (geneExprCor) ENSDARG00000028096	0.9104744739489523
ENSDARG00000004748 (geneExprCor) ENSDARG00000029290	0.8271649649692354
ENSDARG00000004748 (geneExprCor) ENSDARG00000031588	0.9301019692651538
ENSDARG00000004748 (geneExprCor) ENSDARG00000031929	0.8566123834977165
ENSDARG00000004748 (geneExprCor) ENSDARG00000032571	0.9264457412114798
ENSDARG00000004748 (geneExprCor) ENSDARG00000032801	0.8514707007139956
ENSDARG00000004748 (geneExprCor) ENSDARG00000033160	0.855862252535186
ENSDARG00000004748 (geneExprCor) ENSDARG00000035178	0.9394609405325703
ENSDARG00000004748 (geneExprCor) ENSDARG00000035890	0.8440496914160427
ENSDARG00000004748 (geneExprCor) ENSDARG00000036820	0.9236892368921824
ENSDARG00000004748 (geneExprCor) ENSDARG00000037409	0.915807260709502
ENSDARG00000004748 (geneExprCor) ENSDARG00000038524	0.8320170322204364
ENSDARG00000004748 (geneExprCor) ENSDARG00000039243	0.943871815730868
ENSDARG00000004748 (geneExprCor) ENSDARG00000040076	0.9402634829692286
ENSDARG00000004748 (geneExprCor) ENSDARG00000041051	0.8695792140972282
ENSDARG00000004748 (geneExprCor) ENSDARG00000041433	0.9187654152234804
ENSDARG00000004748 (geneExprCor) ENSDARG00000041947	0.9405467643880534
ENSDARG00000004748 (geneExprCor) ENSDARG00000042874	0.8594908000029956
ENSDARG00000004748 (geneExprCor) ENSDARG00000043093	0.9248701184670962
ENSDARG00000004748 (geneExprCor) ENSDARG00000043492	0.8929148602916114
ENSDARG00000004748 (geneExprCor) ENSDARG00000052115	0.9400373616853652
ENSDARG00000004748 (geneExprCor) ENSDARG00000052170	0.9145520661281191
ENSDARG00000004748 (geneExprCor) ENSDARG00000052779	0.9492324436520994
ENSDARG00000004748 (geneExprCor) ENSDARG00000053761	0.8962043465301438
ENSDARG00000004748 (geneExprCor) ENSDARG00000054160	0.8249019277112389
ENSDARG00000004748 (geneExprCor) ENSDARG00000054827	0.8782286926588025
ENSDARG00000004748 (geneExprCor) ENSDARG00000055290	0.8292289537338601
ENSDARG00000004748 (geneExprCor) ENSDARG00000055504	0.9018669568257938
ENSDARG00000004748 (geneExprCor) ENSDARG00000057652	0.8530327028469348
ENSDARG00000004748 (geneExprCor) ENSDARG00000062788	0.9200303729210861
ENSDARG00000004748 (geneExprCor) ENSDARG00000068951	0.8665398879804771
ENSDARG00000004748 (geneExprCor) ENSDARG00000069566	0.8968507685751113
ENSDARG00000004748 (geneExprCor) ENSDARG00000070041	0.821040500141518
ENSDARG00000004748 (geneExprCor) ENSDARG00000070331	0.840880688656556
ENSDARG00000004748 (geneExprCor) ENSDARG00000070480	0.8614037243793636
ENSDARG00000004748 (geneExprCor) ENSDARG00000071014	0.9515351545166278
ENSDARG00000004748 (geneExprCor) ENSDARG00000074150	0.8521426927362659
ENSDARG00000004748 (geneExprCor) ENSDARG00000074390	0.9406680231919923
ENSDARG00000004748 (geneExprCor) ENSDARG00000076386	0.8917394654795638
ENSDARG00000004748 (geneExprCor) ENSDARG00000077982	0.8458243236141356
ENSDARG00000004748 (geneExprCor) ENSDARG00000078093	0.9327581535627075
ENSDARG00000004748 (geneExprCor) ENSDARG00000079227	0.8636341905429322
ENSDARG00000004748 (geneExprCor) ENSDARG00000079332	0.9239288990823326
ENSDARG00000004748 (geneExprCor) ENSDARG00000088234	0.9357072816623937
ENSDARG00000004748 (geneExprCor) ENSDARG00000088439	0.8175951336001773
ENSDARG00000004748 (geneExprCor) ENSDARG00000091757	0.9174104349211022
ENSDARG00000004748 (geneExprCor) ENSDARG00000092778	0.9305838661491267
ENSDARG00000004748 (geneExprCor) ENSDARG00000093186	0.8600339089361251
ENSDARG00000004748 (geneExprCor) ENSDARG00000093347	0.9128090879328146
ENSDARG00000004748 (geneExprCor) ENSDARG00000093494	0.8369299491026799
ENSDARG00000004748 (geneExprCor) ENSDARG00000093750	0.8940619158655813
ENSDARG00000004748 (geneExprCor) ENSDARG00000093936	0.9192225745805802
ENSDARG00000004748 (geneExprCor) ENSDARG00000094345	0.8849030580697926
ENSDARG00000004748 (geneExprCor) ENSDARG00000094511	0.8007480459909135
ENSDARG00000004748 (geneExprCor) ENSDARG00000094678	0.9427677441846871
ENSDARG00000004748 (geneExprCor) ENSDARG00000095409	0.910880635007271
ENSDARG00000004748 (geneExprCor) ENSDARG00000095475	0.8421188701494029
ENSDARG00000004748 (geneExprCor) ENSDARG00000096874	0.9449165573814623
ENSDARG00000004748 (geneExprCor) ENSDARG00000097157	0.9144049483235711
ENSDARG00000004748 (geneExprCor) ENSDARG00000098256	0.9077890766419399
ENSDARG00000004748 (geneExprCor) ENSDARG00000098387	0.9058285084439641
ENSDARG00000004748 (geneExprCor) ENSDARG00000098761	0.8664259006515407
ENSDARG00000004748 (geneExprCor) ENSDARG00000099448	0.865260409447178
ENSDARG00000004748 (geneExprCor) ENSDARG00000099717	0.8035971523759942
ENSDARG00000004748 (geneExprCor) ENSDARG00000099803	0.8058185527753321
ENSDARG00000004748 (geneExprCor) ENSDARG00000099923	0.8166552934582547
ENSDARG00000004748 (geneExprCor) ENSDARG00000100106	0.9452500712765184
ENSDARG00000004748 (geneExprCor) ENSDARG00000100185	0.9246886872862529
ENSDARG00000004748 (geneExprCor) ENSDARG00000101637	0.8320021848970937
ENSDARG00000004748 (geneExprCor) ENSDARG00000102798	0.8130797307112808
ENSDARG00000004748 (geneExprCor) ENSDARG00000103199	0.9225009742058345
ENSDARG00000004748 (geneExprCor) ENSDARG00000103485	0.9010707292660513
ENSDARG00000004748 (geneExprCor) ENSDARG00000103720	0.8699067865470583
ENSDARG00000004748 (geneExprCor) ENSDARG00000103979	0.8327003746554591
ENSDARG00000004748 (geneExprCor) ENSDARG00000105731	0.9543180492727784
ENSDARG00000004748 (geneExprCor) ENSDARG00000109240	0.9105288628610541
ENSDARG00000004748 (geneExprCor) ENSDARG00000111833	0.8537987590247014
ENSDARG00000004748 (geneExprCor) ENSDARG00000113076	0.8798689885870615
ENSDARG00000004748 (geneExprCor) ENSDARG00000117266	0.9223019853730933
ENSDARG00000005332 (geneExprCor) ENSDARG00000005913	0.8603046330518076
ENSDARG00000005332 (geneExprCor) ENSDARG00000007377	0.8481408759397869
ENSDARG00000005332 (geneExprCor) ENSDARG00000013076	0.818098605679154
ENSDARG00000005332 (geneExprCor) ENSDARG00000013950	0.8963468314840205
ENSDARG00000005332 (geneExprCor) ENSDARG00000020228	0.8182429297259759
ENSDARG00000005332 (geneExprCor) ENSDARG00000020298	0.8562295116501509
ENSDARG00000005332 (geneExprCor) ENSDARG00000025428	0.8191311891990027
ENSDARG00000005332 (geneExprCor) ENSDARG00000028119	0.881435817469659
ENSDARG00000005332 (geneExprCor) ENSDARG00000030896	0.8589629108165747
ENSDARG00000005332 (geneExprCor) ENSDARG00000031683	0.8599296370700991
ENSDARG00000005332 (geneExprCor) ENSDARG00000033832	0.828168717753321
ENSDARG00000005332 (geneExprCor) ENSDARG00000037421	0.9127252950838918
ENSDARG00000005332 (geneExprCor) ENSDARG00000041294	0.8588664525724486
ENSDARG00000005332 (geneExprCor) ENSDARG00000045015	0.879047098645989
ENSDARG00000005332 (geneExprCor) ENSDARG00000045695	0.8297416604317269
ENSDARG00000005332 (geneExprCor) ENSDARG00000052783	0.8767732046433085
ENSDARG00000005332 (geneExprCor) ENSDARG00000054033	0.8755186928953543
ENSDARG00000005332 (geneExprCor) ENSDARG00000054879	0.8311492702440046
ENSDARG00000005332 (geneExprCor) ENSDARG00000055080	0.8574516537576605
ENSDARG00000005332 (geneExprCor) ENSDARG00000055752	0.9302708329772557
ENSDARG00000005332 (geneExprCor) ENSDARG00000058302	0.8846311176074888
ENSDARG00000005332 (geneExprCor) ENSDARG00000071555	0.8278331272415703
ENSDARG00000005332 (geneExprCor) ENSDARG00000074490	0.8927040024463533
ENSDARG00000005332 (geneExprCor) ENSDARG00000074508	0.8044065727690524
ENSDARG00000005332 (geneExprCor) ENSDARG00000076196	0.8225193288765625
ENSDARG00000005332 (geneExprCor) ENSDARG00000077799	0.9410437890058663
ENSDARG00000005332 (geneExprCor) ENSDARG00000079497	0.8573494229782103
ENSDARG00000005332 (geneExprCor) ENSDARG00000086881	0.8503623981084085
ENSDARG00000005332 (geneExprCor) ENSDARG00000088539	0.8086355996296
ENSDARG00000005332 (geneExprCor) ENSDARG00000088641	0.8018452571487127
ENSDARG00000005332 (geneExprCor) ENSDARG00000094879	0.8852252466986035
ENSDARG00000005332 (geneExprCor) ENSDARG00000097706	0.8947266129582766
ENSDARG00000005332 (geneExprCor) ENSDARG00000098121	0.8132573844763481
ENSDARG00000005332 (geneExprCor) ENSDARG00000098761	0.8097003936806086
ENSDARG00000005332 (geneExprCor) ENSDARG00000099195	0.8157192896396712
ENSDARG00000005332 (geneExprCor) ENSDARG00000100020	0.8585276616605467
ENSDARG00000005332 (geneExprCor) ENSDARG00000101040	0.8818138676412108
ENSDARG00000005332 (geneExprCor) ENSDARG00000101285	0.8082237842388205
ENSDARG00000005332 (geneExprCor) ENSDARG00000102138	0.8465563108983568
ENSDARG00000005332 (geneExprCor) ENSDARG00000102430	0.8373541892194336
ENSDARG00000005332 (geneExprCor) ENSDARG00000103846	0.8221420161002684
ENSDARG00000005332 (geneExprCor) ENSDARG00000104398	0.8565176721944197
ENSDARG00000005332 (geneExprCor) ENSDARG00000104773	0.8709525404037102
ENSDARG00000005332 (geneExprCor) ENSDARG00000114704	0.8353860883098891
ENSDARG00000005616 (geneExprCor) ENSDARG00000010602	0.8143062901563818
ENSDARG00000005616 (geneExprCor) ENSDARG00000021443	0.8686972919336916
ENSDARG00000005616 (geneExprCor) ENSDARG00000035257	0.8159322892775515
ENSDARG00000005616 (geneExprCor) ENSDARG00000035890	0.898607767903314
ENSDARG00000005616 (geneExprCor) ENSDARG00000040076	0.8636542302308592
ENSDARG00000005616 (geneExprCor) ENSDARG00000041051	0.842595551646619
ENSDARG00000005616 (geneExprCor) ENSDARG00000043093	0.8120105248443321
ENSDARG00000005616 (geneExprCor) ENSDARG00000044827	0.8153731665655154
ENSDARG00000005616 (geneExprCor) ENSDARG00000052115	0.8366307774024089
ENSDARG00000005616 (geneExprCor) ENSDARG00000052170	0.8345452377267272
ENSDARG00000005616 (geneExprCor) ENSDARG00000055290	0.8873178829948678
ENSDARG00000005616 (geneExprCor) ENSDARG00000055644	0.8729067288083694
ENSDARG00000005616 (geneExprCor) ENSDARG00000068374	0.810214583397231
ENSDARG00000005616 (geneExprCor) ENSDARG00000074150	0.8115584133306086
ENSDARG00000005616 (geneExprCor) ENSDARG00000076386	0.9025710222842624
ENSDARG00000005616 (geneExprCor) ENSDARG00000076914	0.8282473706718115
ENSDARG00000005616 (geneExprCor) ENSDARG00000092719	0.876478152780197
ENSDARG00000005616 (geneExprCor) ENSDARG00000093494	0.9151754704754951
ENSDARG00000005616 (geneExprCor) ENSDARG00000094511	0.8366768417673093
ENSDARG00000005616 (geneExprCor) ENSDARG00000096874	0.8382065348588787
ENSDARG00000005616 (geneExprCor) ENSDARG00000097157	0.8176799984255545
ENSDARG00000005616 (geneExprCor) ENSDARG00000097924	0.817827965122379
ENSDARG00000005616 (geneExprCor) ENSDARG00000098256	0.8680014908047463
ENSDARG00000005616 (geneExprCor) ENSDARG00000099448	0.8686806121356183
ENSDARG00000005616 (geneExprCor) ENSDARG00000099717	0.924635273339187
ENSDARG00000005616 (geneExprCor) ENSDARG00000099923	0.935928877287975
ENSDARG00000005616 (geneExprCor) ENSDARG00000100106	0.8493067725640241
ENSDARG00000005616 (geneExprCor) ENSDARG00000102175	0.8904311523132045
ENSDARG00000005616 (geneExprCor) ENSDARG00000103199	0.8029109330760993
ENSDARG00000005616 (geneExprCor) ENSDARG00000103485	0.8529014684487667
ENSDARG00000005616 (geneExprCor) ENSDARG00000103720	0.8289285963391243
ENSDARG00000005913 (geneExprCor) ENSDARG00000013950	0.8108183441188961
ENSDARG00000005913 (geneExprCor) ENSDARG00000037421	0.8380985956593854
ENSDARG00000005913 (geneExprCor) ENSDARG00000041294	0.827912048539028
ENSDARG00000005913 (geneExprCor) ENSDARG00000045015	0.8288088056811599
ENSDARG00000005913 (geneExprCor) ENSDARG00000052783	0.8549835327240073
ENSDARG00000005913 (geneExprCor) ENSDARG00000055752	0.8784466427494617
ENSDARG00000005913 (geneExprCor) ENSDARG00000058302	0.8066409855822929
ENSDARG00000005913 (geneExprCor) ENSDARG00000069006	0.8566548602907457
ENSDARG00000005913 (geneExprCor) ENSDARG00000074490	0.9120590539844124
ENSDARG00000005913 (geneExprCor) ENSDARG00000074508	0.874644270855305
ENSDARG00000005913 (geneExprCor) ENSDARG00000077799	0.8188992639311604
ENSDARG00000005913 (geneExprCor) ENSDARG00000094879	0.8729605626114905
ENSDARG00000005913 (geneExprCor) ENSDARG00000100020	0.8113466857737982
ENSDARG00000005913 (geneExprCor) ENSDARG00000102138	0.8630019258901395
ENSDARG00000005913 (geneExprCor) ENSDARG00000104773	0.8648206255765645
ENSDARG00000005913 (geneExprCor) ENSDARG00000114704	0.8525175626896536
ENSDARG00000006202 (geneExprCor) ENSDARG00000008275	0.9149299013183516
ENSDARG00000006202 (geneExprCor) ENSDARG00000011407	0.8485675071440184
ENSDARG00000006202 (geneExprCor) ENSDARG00000015164	0.8017810830353216
ENSDARG00000006202 (geneExprCor) ENSDARG00000017780	0.8087685206388667
ENSDARG00000006202 (geneExprCor) ENSDARG00000018898	0.8498839726756718
ENSDARG00000006202 (geneExprCor) ENSDARG00000020239	0.822311573401729
ENSDARG00000006202 (geneExprCor) ENSDARG00000020581	0.925618041762177
ENSDARG00000006202 (geneExprCor) ENSDARG00000020876	0.8068961913099214
ENSDARG00000006202 (geneExprCor) ENSDARG00000023176	0.8228491064928183
ENSDARG00000006202 (geneExprCor) ENSDARG00000028027	0.829217722873037
ENSDARG00000006202 (geneExprCor) ENSDARG00000028507	0.8377577086765328
ENSDARG00000006202 (geneExprCor) ENSDARG00000029476	0.8851224788285909
ENSDARG00000006202 (geneExprCor) ENSDARG00000031702	0.8734990666254707
ENSDARG00000006202 (geneExprCor) ENSDARG00000035309	0.833804484739297
ENSDARG00000006202 (geneExprCor) ENSDARG00000036414	0.8315097767517973
ENSDARG00000006202 (geneExprCor) ENSDARG00000036848	0.8465118322651249
ENSDARG00000006202 (geneExprCor) ENSDARG00000037872	0.8455823858477536
ENSDARG00000006202 (geneExprCor) ENSDARG00000038729	0.822017337535489
ENSDARG00000006202 (geneExprCor) ENSDARG00000039677	0.8519029935414678
ENSDARG00000006202 (geneExprCor) ENSDARG00000040100	0.8937301040676131
ENSDARG00000006202 (geneExprCor) ENSDARG00000041607	0.8616313695833157
ENSDARG00000006202 (geneExprCor) ENSDARG00000045070	0.8481388801894274
ENSDARG00000006202 (geneExprCor) ENSDARG00000051861	0.8946495636485999
ENSDARG00000006202 (geneExprCor) ENSDARG00000051915	0.8339458729703256
ENSDARG00000006202 (geneExprCor) ENSDARG00000053091	0.9202287745038943
ENSDARG00000006202 (geneExprCor) ENSDARG00000055172	0.8313098675633108
ENSDARG00000006202 (geneExprCor) ENSDARG00000056767	0.8834504342209013
ENSDARG00000006202 (geneExprCor) ENSDARG00000057408	0.8725360508271274
ENSDARG00000006202 (geneExprCor) ENSDARG00000058285	0.8796598959384128
ENSDARG00000006202 (geneExprCor) ENSDARG00000058543	0.8766807563585095
ENSDARG00000006202 (geneExprCor) ENSDARG00000059054	0.8021744851916902
